datetime,weather_temp_c,weather_humidity_pct,weather_precip_mm,weather_wind_kmh,venue,weather_valid_time_utc,weather_available_at,weather_state,weather_source,weather_pit_quality
2019-03-04 15:00:00,10.2,74,0.3,14.3,東京ドーム,2019-03-04 06:00:00+00:00,,UNKNOWN,Open-Meteo Historical Forecast,FAIL_CLOSED_NO_ISSUANCE_TIMESTAMP
2019-03-04 16:00:00,9.9,76,0.3,12.1,東京ドーム,2019-03-04 07:00:00+00:00,,UNKNOWN,Open-Meteo Historical Forecast,FAIL_CLOSED_NO_ISSUANCE_TIMESTAMP
2019-03-04 17:00:00,9.7,71,0.0,10.8,東京ドーム,2019-03-04 08:00:00+00:00,,UNKNOWN,Open-Meteo Historical Forecast,FAIL_CLOSED_NO_ISSUANCE_TIMESTAMP
2019-03-04 18:00:00,8.6,78,0.0,10.8,東京ドーム,2019-03-04 09:00:00+00:00,,UNKNOWN,Open-Meteo Historical Forecast,FAIL_CLOSED_NO_ISSUANCE_TIMESTAMP
2019-03-04 19:00:00,7.9,82,0.1,8.7,東京ドーム,2019-03-04 10:00:00+00:00,,UNKNOWN,Open-Meteo Historical Forecast,FAIL_CLOSED_NO_ISSUANCE_TIMESTAMP
2019-03-04 20:00:00,7.4,83,1.4,8.9,東京ドーム,2019-03-04 11:00:00+00:00,,UNKNOWN,Open-Meteo Historical Forecast,FAIL_CLOSED_NO_ISSUANCE_TIMESTAMP
2019-03-04 21:00:00,7.2,71,1.3,10.5,東京ドーム,2019-03-04 12:00:00+00:00,,UNKNOWN,Open-Meteo Historical Forecast,FAIL_CLOSED_NO_ISSUANCE_TIMESTAMP
2019-03-04 22:00:00,6.4,78,0.5,10.9,東京ドーム,2019-03-04 13:00:00+00:00,,UNKNOWN,Open-Meteo Historical Forecast,FAIL_CLOSED_NO_ISSUANCE_TIMESTAMP
2019-03-04 23:00:00,6.0,80,1.0,11.5,東京ドーム,2019-03-04 14:00:00+00:00,,UNKNOWN,Open-Meteo Historical Forecast,FAIL_CLOSED_NO_ISSUANCE_TIMESTAMP
2019-03-05 00:00:00,5.8,80,0.2,9.4,東京ドーム,2019-03-04 15:00:00+00:00,,UNKNOWN,Open-Meteo Historical Forecast,FAIL_CLOSED_NO_ISSUANCE_TIMESTAMP
2019-03-05 01:00:00,6.1,74,0.0,7.6,東京ドーム,2019-03-04 16:00:00+00:00,,UNKNOWN,Open-Meteo Historical Forecast,FAIL_CLOSED_NO_ISSUANCE_TIMESTAMP
2019-03-05 02:00:00,5.8,86,0.0,5.5,東京ドーム,2019-03-04 17:00:00+00:00,,UNKNOWN,Open-Meteo Historical Forecast,FAIL_CLOSED_NO_ISSUANCE_TIMESTAMP
2019-03-05 03:00:00,5.6,75,0.0,5.8,東京ドーム,2019-03-04 18:00:00+00:00,,UNKNOWN,Open-Meteo Historical Forecast,FAIL_CLOSED_NO_ISSUANCE_TIMESTAMP
2019-03-05 04:00:00,5.4,76,0.0,3.7,東京ドーム,2019-03-04 19:00:00+00:00,,UNKNOWN,Open-Meteo Historical Forecast,FAIL_CLOSED_NO_ISSUANCE_TIMESTAMP
2019-03-05 05:00:00,5.5,72,0.0,4.1,東京ドーム,2019-03-04 20:00:00+00:00,,UNKNOWN,Open-Meteo Historical Forecast,FAIL_CLOSED_NO_ISSUANCE_TIMESTAMP
2019-03-05 06:00:00,5.4,69,0.0,3.8,東京ドーム,2019-03-04 21:00:00+00:00,,UNKNOWN,Open-Meteo Historical Forecast,FAIL_CLOSED_NO_ISSUANCE_TIMESTAMP
2019-03-05 07:00:00,5.4,66,0.0,3.3,東京ドーム,2019-03-04 22:00:00+00:00,,UNKNOWN,Open-Meteo Historical Forecast,FAIL_CLOSED_NO_ISSUANCE_TIMESTAMP
2019-03-05 08:00:00,7.1,53,0.0,3.4,東京ドーム,2019-03-04 23:00:00+00:00,,UNKNOWN,Open-Meteo Historical Forecast,FAIL_CLOSED_NO_ISSUANCE_TIMESTAMP
2019-03-05 09:00:00,8.9,55,0.0,5.9,東京ドーム,2019-03-05 00:00:00+00:00,,UNKNOWN,Open-Meteo Historical Forecast,FAIL_CLOSED_NO_ISSUANCE_TIMESTAMP
2019-03-05 10:00:00,10.6,50,0.0,6.0,東京ドーム,2019-03-05 01:00:00+00:00,,UNKNOWN,Open-Meteo Historical Forecast,FAIL_CLOSED_NO_ISSUANCE_TIMESTAMP
2019-03-05 11:00:00,11.6,46,0.0,6.1,東京ドーム,2019-03-05 02:00:00+00:00,,UNKNOWN,Open-Meteo Historical Forecast,FAIL_CLOSED_NO_ISSUANCE_TIMESTAMP
2019-03-05 12:00:00,13.5,41,0.0,3.2,東京ドーム,2019-03-05 03:00:00+00:00,,UNKNOWN,Open-Meteo Historical Forecast,FAIL_CLOSED_NO_ISSUANCE_TIMESTAMP
2019-03-05 13:00:00,14.5,37,0.0,1.8,東京ドーム,2019-03-05 04:00:00+00:00,,UNKNOWN,Open-Meteo Historical Forecast,FAIL_CLOSED_NO_ISSUANCE_TIMESTAMP
2019-03-05 14:00:00,15.0,34,0.0,1.3,東京ドーム,2019-03-05 05:00:00+00:00,,UNKNOWN,Open-Meteo Historical Forecast,FAIL_CLOSED_NO_ISSUANCE_TIMESTAMP
2019-03-05 15:00:00,14.5,33,0.0,3.0,東京ドーム,2019-03-05 06:00:00+00:00,,UNKNOWN,Open-Meteo Historical Forecast,FAIL_CLOSED_NO_ISSUANCE_TIMESTAMP
